302600.585536,4124011.21176
302600.603818,4124011.36639
302600.624631,4124011.528
302600.647088,4124011.67772
302600.668362,4124011.83376
302600.691149,4124011.99124
302600.714554,4124012.15612
302600.736685,4124012.31713
302600.761703,4124012.48141
302600.777015,4124012.65443
302600.807856,4124012.82098
302600.820407,4124012.9961
302600.847421,4124013.16976
302600.877819,4124013.34261
302600.895866,4124013.50613
302600.916632,4124013.69086
302600.934418,4124013.85587
302600.953157,4124014.02992
302600.978245,4124014.19716
302600.99871,4124014.36913
302601.021467,4124014.53161
302601.047433,4124014.71733
302601.060323,4124014.888
302601.079997,4124015.05777
302601.101127,4124015.23287
302601.128924,4124015.40837
302601.150785,4124015.5768
302601.168085,4124015.75255
302601.190585,4124015.9167
302601.213042,4124016.08529
302601.232533,4124016.2473
302601.255899,4124016.42938
302601.273624,4124016.59809
302601.292833,4124016.76694
302601.318421,4124016.94286
302601.344644,4124017.11433
302601.366313,4124017.28091
302601.384961,4124017.45107
302601.406839,4124017.61395
302601.424669,4124017.78709
302601.445639,4124017.95535
302601.472049,4124018.12219
302601.495858,4124018.29797
302601.516641,4124018.47086
302601.539167,4124018.62983
302601.563633,4124018.80208
302601.58579,4124018.9642
302601.614143,4124019.13192
302601.633004,4124019.30486
302601.663971,4124019.47047
302601.691137,4124019.64432
302601.706762,4124019.81179
302601.733898,4124019.98434
302601.760226,4124020.15395
302601.783574,4124020.32271
302601.811423,4124020.49414
302601.834763,4124020.66253
302601.853862,4124020.82677
302601.882312,4124020.99855
302601.897193,4124021.17213
302601.916362,4124021.33303
302601.94008,4124021.51122
302601.958167,4124021.67011
302601.97888,4124021.82746
302601.999428,4124022.00295
302602.018123,4124022.16886
302602.038793,4124022.33065
302602.057101,4124022.49897
302602.076122,4124022.65987
302602.09303,4124022.82527
302602.113969,4124022.97965
302602.131208,4124023.15281
302602.154087,4124023.30789
302602.172156,4124023.47233
302602.194273,4124023.63279
302602.215686,4124023.79475
302602.233595,4124023.95235
302602.251337,4124024.1155
302602.267758,4124024.27277
302602.289015,4124024.43436
302602.307523,4124024.59232
302602.32921,4124024.75963
302602.346053,4124024.91596
302602.364535,4124025.08539
302602.383009,4124025.24187
302602.4042,4124025.40069
302602.423791,4124025.56694
302602.438134,4124025.72389
302602.459499,4124025.88381
