346291.862237,4069660.29897
346291.943318,4069660.21465
346292.023978,4069660.12349
346292.104387,4069660.03492
346292.17953,4069659.95145
346292.264105,4069659.86281
346292.343271,4069659.77131
346292.429965,4069659.68466
346292.501604,4069659.60495
346292.584427,4069659.51819
346292.662068,4069659.42468
346292.746522,4069659.34584
346292.818186,4069659.25929
346292.899551,4069659.17422
346292.980721,4069659.08656
346293.058886,4069659.00562
346293.143371,4069658.91199
346293.232491,4069658.81124
346293.315188,4069658.72578
346293.403015,4069658.62765
346293.49398,4069658.5302
346293.578191,4069658.43787
346293.665694,4069658.33826
346293.748077,4069658.25188
346293.827878,4069658.17091
346293.908316,4069658.07569
346293.994759,4069657.98331
346294.086101,4069657.8903
346294.168008,4069657.80226
346294.244704,4069657.71413
346294.337067,4069657.61166
346294.416389,4069657.52885
346294.504226,4069657.43127
346294.591634,4069657.33463
346294.67991,4069657.22835
346294.774587,4069657.13047
346294.864295,4069657.02934
346294.961729,4069656.92752
346295.050075,4069656.82513
346295.144729,4069656.72595
346295.233337,4069656.62983
346295.323359,4069656.52963
346295.412234,4069656.43185
346295.501364,4069656.33166
346295.585168,4069656.24155
346295.681274,4069656.14031
346295.763949,4069656.03709
346295.857089,4069655.93646
346295.957026,4069655.83312
346296.045818,4069655.73071
346296.143579,4069655.62223
346296.238015,4069655.51917
346296.336643,4069655.41751
346296.435,4069655.31734
346296.529462,4069655.21576
346296.635013,4069655.1101
346296.728957,4069655.01278
346296.829436,4069654.90647
346296.932014,4069654.80104
346297.029191,4069654.70145
346297.125759,4069654.60112
346297.221782,4069654.49526
346297.320393,4069654.39268
346297.419495,4069654.30082
346297.505847,4069654.19513
346297.605253,4069654.10363
346297.698396,4069654.00319
346297.786171,4069653.91042
346297.880459,4069653.81569
346297.971202,4069653.71417
346298.070829,4069653.61842
346298.164068,4069653.51501
346298.260039,4069653.42283
346298.352888,4069653.32258
346298.450911,4069653.22038
346298.554031,4069653.11198
346298.656763,4069653.01506
346298.752834,4069652.90365
346298.855902,4069652.80062
346298.958496,4069652.68779
346299.062417,4069652.58253
346299.167269,4069652.47114
346299.279133,4069652.35242
346299.383682,4069652.24067
346299.4944,4069652.13269
346299.603863,4069652.0129
346299.712445,4069651.902
346299.825245,4069651.78566
346299.934964,4069651.67178
346300.044686,4069651.55809
346300.155592,4069651.44401
346300.2631,4069651.33128
346300.367456,4069651.21713
346300.475167,4069651.09922
346300.581206,4069650.9793
346300.689026,4069650.85917
346300.801188,4069650.74044
346300.915816,4069650.61815
346301.030276,4069650.50307
346301.137762,4069650.38091
346301.245705,4069650.2593
346301.369375,4069650.14332
346301.468937,4069650.01908
346301.590742,4069649.8987
346301.703845,4069649.7744
346301.812347,4069649.65074
346301.931316,4069649.53818
346302.036049,4069649.42014
346302.155943,4069649.29276
346302.263053,4069649.17449
346302.375491,4069649.04632
346302.482433,4069648.92694
346302.602562,4069648.80437
346302.713271,4069648.67937
346302.832449,4069648.56181
346302.954283,4069648.43477
346303.060567,4069648.32021
346303.175393,4069648.19237
346303.288519,4069648.06937
346303.395749,4069647.95775
346303.519647,4069647.82956
346303.627627,4069647.71831
346303.749891,4069647.59033
346303.865093,4069647.4586
346303.989335,4069647.33299
346304.105043,4069647.20458
346304.223889,4069647.07685
346304.349697,4069646.94733
346304.476633,4069646.81428
346304.598811,4069646.68149
346304.730716,4069646.55168
346304.857174,4069646.40864
346304.982671,4069646.27839
346305.115904,4069646.13967
346305.241279,4069646.00258
346305.368113,4069645.88044
346305.497031,4069645.73348
346305.62758,4069645.60276
346305.762562,4069645.46198
346305.885692,4069645.33251
346306.014713,4069645.19128
346306.143596,4069645.05893
346306.268604,4069644.92628
346306.392095,4069644.80032
346306.520502,4069644.66631
346306.640815,4069644.53745
346306.761463,4069644.41061
346306.883311,4069644.28431
346307.004638,4069644.16208
346307.127544,4069644.03668
346307.247183,4069643.91171
346307.36989,4069643.77522
346307.488116,4069643.66267
346307.607382,4069643.53345
346307.729837,4069643.39956
346307.847083,4069643.27389
346307.968161,4069643.14612
346308.098713,4069643.01559
346308.203967,4069642.88515
346308.334239,4069642.75555
346308.455956,4069642.63849
346308.573462,4069642.50247
346308.689888,4069642.37256
346308.804979,4069642.25951
346308.927865,4069642.12468
346309.042469,4069642.0011
346309.162894,4069641.86187
346309.281966,4069641.73839
346309.400764,4069641.59975
346309.528351,4069641.46983
346309.641071,4069641.34073
346309.763854,4069641.20849
346309.891957,4069641.08244
346310.009669,4069640.94956
346310.12386,4069640.81951
346310.254098,4069640.68806
346310.375542,4069640.55584
346310.498788,4069640.42452
346310.613898,4069640.29593
346310.735481,4069640.16316
346310.847129,4069640.03242
346310.988897,4069639.90483
346311.100358,4069639.78019
346311.226873,4069639.64863
346311.353508,4069639.51539
346311.469449,4069639.3916
346311.609916,4069639.25793
346311.723957,4069639.11956
346311.845345,4069638.9842
346311.98514,4069638.83797
346312.102188,4069638.70953
346312.227139,4069638.57374
346312.352332,4069638.4348
346312.473697,4069638.30647
346312.604586,4069638.16151
346312.729114,4069638.02702
346312.854136,4069637.89511
346312.972541,4069637.75943
346313.101271,4069637.61858
346313.22396,4069637.49762
346313.35579,4069637.37188
346313.480962,4069637.23183
346313.609266,4069637.09209
346313.738986,4069636.96491
346313.863876,4069636.83392
346313.999642,4069636.69535
346314.125227,4069636.54512
346314.258396,4069636.42767
346314.39735,4069636.26777
346314.525124,4069636.12342
346314.658246,4069635.98674
346314.786323,4069635.85921
346314.923738,4069635.72134
346315.050175,4069635.58534
346315.183507,4069635.44385
